,CallLTP,ITM Prob.,CallIV,CallDelta,Strike Price,Put Delta,PutIV,PutLTP
0,973.95,0,0,0,18800,-1.8,24.24,3.15
1,948.45,0.1,33.43,92.64,18850,-1.94,23.31,3.3
2,877.9,0.2,19.86,98.89,18900,-2.23,22.65,3.75
3,845.1,0.4,29.39,92.85,18950,-2.49,21.84,4.1
4,791.4,0.7,26.59,93.54,19000,-2.89,21.19,4.7
5,743.7,1.1,26.08,92.59,19050,-3.26,20.38,5.2
6,685.5,1.6,21.37,94.91,19100,-3.76,19.64,5.9
7,627.9,2.4,14.76,98.55,19150,-4.35,18.88,6.7
8,586.4,3.5,19.17,93.94,19200,-4.9,17.94,7.3
9,532.7,4.9,16.18,95.28,19250,-5.72,17.15,8.35
10,486.95,6.7,16.7,92.86,19300,-6.89,16.5,10
11,436.55,9.1,15.19,92.51,19350,-8.33,15.82,12
12,390.1,11.9,14.91,90.22,19400,-10.49,15.39,15.4
13,334.3,15.4,11.64,92.41,19450,-13.23,15,19.9
14,299.15,19.4,13.99,84.4,19500,-16.83,14.73,26.35
15,259.3,24,14.17,79.34,19550,-21.17,14.49,34.7
16,217.2,29.1,13.55,74.76,19600,-26.47,14.39,46.2
17,180.85,34.7,13.44,68.55,19650,-32.1,13.98,58.3
18,149.65,40.6,13.58,61.46,19700,-38.97,14.16,77.6
19,121.25,46.7,13.62,54.17,19750,-45.95,14.11,98.7
20,97.75,52.9,13.8,46.84,19800,-53.17,13.79,121.25
21,76.7,58.9,13.84,39.7,19850,-60.32,13.81,150.1
22,59.5,64.8,13.94,33.02,19900,-66.77,14.12,184.4
23,45.05,70.3,13.97,26.85,19950,-73.92,13.47,215.4
24,34.4,75.4,14.17,21.62,20000,-78.99,13.8,255.9
25,24.95,79.9,14.16,16.81,20050,-84.46,13.45,295.1
26,18.9,83.9,14.43,13.23,20100,-87.74,13.86,340.15
27,13.65,87.4,14.54,10.06,20150,-93.33,12.4,380.75
28,10.1,90.2,14.77,7.71,20200,-94.63,13.08,429.45
29,7.65,92.6,15.1,5.98,20250,-92.1,16.64,485.3
30,6,94.5,15.54,4.73,20300,0,0,515.9
31,4.9,95.9,16.07,3.86,20350,0,0,544.05
32,4.1,97.1,16.66,3.2,20400,-96.13,17.47,628.95
33,3.65,97.9,17.39,2.78,20450,0,0,659.45
34,3.45,98.6,18.27,2.53,20500,0,0,719.25
35,3.05,99,18.93,2.2,20550,0,0,745.85
36,3,99.3,19.89,2.08,20600,0,0,797
37,2.8,99.5,20.67,1.89,20650,0,0,769.85
38,2.75,99.7,21.59,1.79,20700,0,0,892.6
39,2.6,99.8,22.38,1.65,20750,0,0,952.3
