,CallLTP,ITM Prob.,CallIV,CallDelta,Strike Price,Put Delta,PutIV,PutLTP
0,8200,2.5,49.64,83.02,14000,-2.2,17.08,37.05
1,-,5.4,-,-,15000,-4.68,17.09,88.5
2,4995,9.9,19.87,88.5,16000,-8.07,16.52,162.5
3,4161,16.3,19.29,83.32,17000,-11.54,14.8,222.7
4,3440,24.3,19.39,76.32,18000,-18,14,366.25
5,3080,-,19.05,72.73,18500,-,-,-
6,2732.1,33.5,18.65,68.92,19000,-26.89,13.27,586
7,2050,43.2,17.38,60.52,20000,-38.06,12.29,878.15
8,1461,52.9,16.24,50.81,21000,-51.93,10.97,1252
9,990,62,15.34,40.38,22000,-68.85,9.39,1750
10,675,70.1,15.07,30.94,23000,-83.48,8.64,2490
