,CallLTP,ITM Prob.,CallIV,CallDelta,Strike Price,Put Delta,PutIV,PutLTP
0,1002.7,0.6,14.8,98.03,18800,-3.27,16.57,7.25
1,400.65,0.8,0,0,18850,-3.69,16.2,8.15
2,950,1.2,23.99,87.57,18900,-4.13,15.79,9.05
3,1029.5,1.7,37.33,76.39,18950,-4.79,15.52,10.55
4,847.35,2.3,21.7,87.06,19000,-5.38,15.1,11.75
5,938.65,3.1,35.7,74.62,19050,-6.13,14.74,13.35
6,755.85,4.1,20.85,84.77,19100,-6.77,14.2,14.45
7,662.35,5.3,13.14,93.26,19150,-8.13,14.09,17.8
8,652,6.8,18.35,84.02,19200,-8.98,13.51,19.2
9,601.3,8.7,17.24,83.37,19250,-10.09,13,21.25
10,558.9,10.8,17.06,81.33,19300,-11.49,12.55,24
11,519.7,13.3,17.1,78.8,19350,-13.74,12.41,29.55
12,469,16.2,15.9,77.72,19400,-16.11,12.16,35.3
13,430,19.5,15.78,74.95,19450,-18.6,11.79,41
14,389.8,23.1,15.43,72.25,19500,-21.83,11.59,49.5
15,344.2,27,14.53,69.92,19550,-25.48,11.4,59.6
16,303.7,31.2,13.97,66.83,19600,-29.48,11.16,70.9
17,273.7,35.7,14.12,62.75,19650,-34.12,11.06,85.95
18,240.15,40.4,13.85,58.85,19700,-38.92,10.78,101
19,207.95,45.2,13.53,54.73,19750,-44.11,10.42,117.35
20,176.65,50,13.12,50.36,19800,-49.76,10.19,138
21,150.65,54.9,12.94,45.81,19850,-55.5,10.22,165.1
22,128.65,59.7,12.89,41.3,19900,-61.72,9.71,188
23,104.55,64.3,12.5,36.52,19950,-67.56,9.59,219.1
24,88,68.7,12.52,32.24,20000,-73.79,9.16,249.8
25,72.2,72.8,12.43,28.02,20050,-80.69,8.43,281.2
26,57.95,76.6,12.28,23.94,20100,-86.19,8.05,319.95
27,46.95,80.2,12.26,20.38,20150,-90.27,7.88,363.1
28,38.6,83.3,12.34,17.37,20200,0,0,396.85
29,31.95,86.1,12.48,14.8,20250,0,0,441.95
30,25,88.6,12.42,12.17,20300,0,0,487.9
31,20.65,90.7,12.58,10.28,20350,0,0,533.4
32,16.6,92.5,12.66,8.52,20400,0,0,579.95
33,14.4,94,12.98,7.4,20450,0,0,600
34,11.9,95.3,13.15,6.22,20500,0,0,673.8
35,9.75,96.3,13.3,5.2,20550,0,0,685.2
36,7.8,97.2,13.39,4.26,20600,0,0,769.55
37,6.8,97.8,13.7,3.71,20650,0,0,765
38,5.55,98.4,13.84,3.08,20700,0,0,835
39,5.45,98.8,14.41,2.92,20750,0,0,900.6
